contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
IBM250815C00210000,IBM,2025-08-15,210.0,call,41.6,29.77,29.3,6,30.25,6,0,3,2025-08-15,1.01485,0.99414,0.00131,-0.13072,0.00209,0.00571
IBM250815P00210000,IBM,2025-08-15,210.0,put,0.0,0.01,0.0,0,1.87,1,0,138,2025-08-15,0.91729,-0.00269,0.00072,-0.04765,0.00104,-2e-05
IBM250815C00212500,IBM,2025-08-15,212.5,call,0.0,27.15,26.7,6,27.6,6,0,0,2025-08-15,0.01976,1.0,0.0,-0.02521,0.0,0.00582
IBM250815P00212500,IBM,2025-08-15,212.5,put,0.0,0.01,0.0,0,1.67,6,0,0,2025-08-15,0.83925,-0.00282,0.00082,-0.04542,0.00108,-2e-05
IBM250815C00215000,IBM,2025-08-15,215.0,call,37.05,25.05,24.25,6,25.85,49,0,0,2025-08-15,1.24899,0.95536,0.00601,-0.76209,0.01182,0.00559
IBM250815P00215000,IBM,2025-08-15,215.0,put,0.0,0.01,0.0,0,2.02,9,0,158,2025-08-15,0.78071,-0.00361,0.0011,-0.05281,0.00136,-2e-05
IBM250815C00217500,IBM,2025-08-15,217.5,call,0.0,22.23,21.85,6,22.6,6,0,0,2025-08-15,0.01976,1.0,0.0,-0.0258,0.0,0.00596
IBM250815P00217500,IBM,2025-08-15,217.5,put,0.0,0.01,0.0,0,2.02,12,0,9,2025-08-15,0.70267,-0.00383,0.00129,-0.05016,0.00143,-3e-05
IBM250815C00220000,IBM,2025-08-15,220.0,call,20.25,19.9,19.5,6,20.3,6,0,11,2025-08-15,0.91729,0.96519,0.00668,-0.46777,0.00965,0.00579
IBM250815P00220000,IBM,2025-08-15,220.0,put,0.02,0.01,0.0,0,0.01,1,4,591,2025-08-15,0.62462,-0.00408,0.00154,-0.0471,0.00151,-3e-05
IBM250815C00222500,IBM,2025-08-15,222.5,call,16.55,17.35,16.9,6,17.8,6,0,3,2025-08-15,0.7612,0.97088,0.00695,-0.34258,0.00833,0.0059
IBM250815P00222500,IBM,2025-08-15,222.5,put,0.01,0.01,0.0,0,2.02,1,6,10,2025-08-15,0.54657,-0.00434,0.00186,-0.04361,0.0016,-3e-05
IBM250815C00225000,IBM,2025-08-15,225.0,call,16.13,14.38,13.6,50,15.15,6,0,17,2025-08-15,0.01976,1.0,0.0,-0.02669,0.0,0.00616
IBM250815P00225000,IBM,2025-08-15,225.0,put,0.02,0.01,0.0,0,0.02,5,27,582,2025-08-15,0.46853,-0.00465,0.0023,-0.03967,0.0017,-3e-05
IBM250815C00227500,IBM,2025-08-15,227.5,call,12.72,11.85,11.15,51,12.55,6,6,7,2025-08-15,0.01976,1.0,0.0,-0.02699,0.0,0.00623
IBM250815P00227500,IBM,2025-08-15,227.5,put,0.02,0.01,0.0,0,0.07,6,29,73,2025-08-15,0.40999,-0.00706,0.00382,-0.05028,0.00246,-5e-05
IBM250815C00230000,IBM,2025-08-15,230.0,call,10.32,9.88,8.75,48,11.0,63,15,299,2025-08-15,0.48804,0.94927,0.01704,-0.34529,0.01309,0.00596
IBM250815P00230000,IBM,2025-08-15,230.0,put,0.01,0.01,0.0,0,0.05,4,165,907,2025-08-15,0.33194,-0.00825,0.0054,-0.04664,0.00282,-5e-05
IBM250815C00232500,IBM,2025-08-15,232.5,call,7.4,7.47,7.05,6,7.9,25,82,328,2025-08-15,0.4295,0.91572,0.02869,-0.4418,0.0194,0.00581
IBM250815P00232500,IBM,2025-08-15,232.5,put,0.01,0.01,0.0,0,0.05,1,88,376,2025-08-15,0.2539,-0.01026,0.00855,-0.04312,0.00342,-7e-05
IBM250815C00235000,IBM,2025-08-15,235.0,call,4.75,4.7,3.8,44,5.6,29,180,307,2025-08-15,0.01976,1.0,0.0,-0.02787,0.0,0.00644
IBM250815P00235000,IBM,2025-08-15,235.0,put,0.01,0.01,0.0,0,0.02,5,220,2319,2025-08-15,0.17585,-0.0147,0.01687,-0.04065,0.00467,-0.0001
IBM250815C00237500,IBM,2025-08-15,237.5,call,2.5,2.55,2.05,6,3.05,32,449,408,2025-08-15,0.21487,0.8005,0.10368,-0.3993,0.03508,0.00519
IBM250815P00237500,IBM,2025-08-15,237.5,put,0.01,0.01,0.0,0,0.03,7,1180,592,2025-08-15,0.0978,-0.03265,0.05947,-0.04385,0.00916,-0.00021
IBM250815C00240000,IBM,2025-08-15,240.0,call,0.02,0.01,0.0,0,0.04,1,4921,2692,2025-08-15,0.01976,0.15538,0.96281,-0.034,0.02995,0.00102
IBM250815P00240000,IBM,2025-08-15,240.0,put,0.25,0.82,0.1,1,1.53,6,1520,1416,2025-08-15,0.13683,-0.5568,0.23001,-0.32305,0.04955,-0.00368
IBM250815C00242500,IBM,2025-08-15,242.5,call,0.01,0.01,0.0,0,0.01,83,1090,2303,2025-08-15,0.0978,0.01299,0.02726,-0.02089,0.0042,9e-05
IBM250815P00242500,IBM,2025-08-15,242.5,put,2.63,2.21,1.12,72,3.3,7,447,784,2025-08-15,0.01976,-1.0,0.0,0.02876,0.0,-0.00664
IBM250815C00245000,IBM,2025-08-15,245.0,call,0.01,0.01,0.0,0,0.01,4,1302,2720,2025-08-15,0.17585,0.0094,0.01144,-0.02812,0.00317,6e-05
IBM250815P00245000,IBM,2025-08-15,245.0,put,5.25,5.05,3.95,65,6.15,37,245,1384,2025-08-15,0.01976,-1.0,0.0,0.02906,0.0,-0.00671
IBM250815C00247500,IBM,2025-08-15,247.5,call,0.01,0.01,0.0,0,0.01,1,207,1868,2025-08-15,0.2539,0.00848,0.00724,-0.03697,0.00289,6e-05
IBM250815P00247500,IBM,2025-08-15,247.5,put,8.29,7.12,6.3,74,7.95,6,15,19,2025-08-15,0.01976,-1.0,0.0,0.02936,0.0,-0.00678
IBM250815C00250000,IBM,2025-08-15,250.0,call,0.03,0.01,0.0,0,0.01,9,313,2021,2025-08-15,0.33194,0.00817,0.00536,-0.04674,0.0028,5e-05
IBM250815P00250000,IBM,2025-08-15,250.0,put,10.15,10.47,10.0,6,10.95,29,111,844,2025-08-15,0.54657,-0.92637,0.02035,-0.45105,0.01751,-0.00637
IBM250815C00252500,IBM,2025-08-15,252.5,call,0.01,0.01,0.0,0,0.01,29,37,932,2025-08-15,0.39048,0.00578,0.00336,-0.04047,0.00206,4e-05
IBM250815P00252500,IBM,2025-08-15,252.5,put,12.74,12.8,12.05,29,13.55,31,5,5,2025-08-15,0.48804,-0.97809,0.00854,-0.1308,0.00656,-0.00677
IBM250815C00255000,IBM,2025-08-15,255.0,call,0.01,0.01,0.0,0,0.01,11,99,2538,2025-08-15,0.46853,0.00616,0.00296,-0.05137,0.00219,4e-05
IBM250815P00255000,IBM,2025-08-15,255.0,put,15.41,15.38,15.0,6,15.75,6,5,1171,2025-08-15,0.66364,-0.96063,0.01022,-0.32502,0.01067,-0.00673
IBM250815C00257500,IBM,2025-08-15,257.5,call,0.01,0.01,0.0,0,0.01,5,22,483,2025-08-15,0.52706,0.00501,0.00219,-0.04801,0.00182,3e-05
IBM250815P00257500,IBM,2025-08-15,257.5,put,0.0,17.85,17.45,6,18.25,6,0,825,2025-08-15,0.72218,-0.96931,0.00765,-0.28447,0.0087,-0.00686
IBM250815C00260000,IBM,2025-08-15,260.0,call,0.01,0.01,0.0,0,0.01,26,31,3208,2025-08-15,0.5856,0.00427,0.00171,-0.04622,0.00157,3e-05
IBM250815P00260000,IBM,2025-08-15,260.0,put,20.83,19.6,18.75,75,20.45,6,3,181,2025-08-15,0.01976,-1.0,0.0,0.03084,0.0,-0.00712
IBM250815C00262500,IBM,2025-08-15,262.5,call,0.01,0.01,0.0,0,0.01,10,4,1392,2025-08-15,0.64413,0.00377,0.00139,-0.04549,0.00141,2e-05
IBM250815P00262500,IBM,2025-08-15,262.5,put,0.0,22.5,21.05,75,23.95,59,0,16,2025-08-15,0.01976,-1.0,0.0,0.03114,0.0,-0.00719
IBM250815C00265000,IBM,2025-08-15,265.0,call,0.01,0.01,0.0,0,0.01,15,4,1381,2025-08-15,0.70267,0.00342,0.00117,-0.0455,0.00129,2e-05
IBM250815P00265000,IBM,2025-08-15,265.0,put,0.0,25.3,24.2,52,26.4,53,0,89,2025-08-15,0.85876,-0.98629,0.00325,-0.15784,0.0044,-0.00717
IBM250815C00267500,IBM,2025-08-15,267.5,call,0.01,0.01,0.0,0,0.01,1,3,1083,2025-08-15,0.7612,0.00318,0.00101,-0.04608,0.00121,2e-05
IBM250815P00267500,IBM,2025-08-15,267.5,put,0.0,27.38,26.0,75,28.75,43,0,12,2025-08-15,0.01976,-1.0,0.0,0.03173,0.0,-0.00733
IBM250815C00270000,IBM,2025-08-15,270.0,call,0.01,0.01,0.0,0,0.01,33,17,1020,2025-08-15,0.81974,0.003,0.00089,-0.0471,0.00115,2e-05
IBM250815P00270000,IBM,2025-08-15,270.0,put,0.0,29.98,29.2,48,30.75,6,0,71,2025-08-15,0.01976,-1.0,0.0,0.03203,0.0,-0.0074
IBM250815C00272500,IBM,2025-08-15,272.5,call,0.01,0.01,0.0,0,0.01,11,30,587,2025-08-15,0.87827,0.00287,0.0008,-0.0485,0.0011,2e-05
IBM250815P00272500,IBM,2025-08-15,272.5,put,0.0,32.88,32.5,12,33.25,12,0,10,2025-08-15,1.20997,-0.97671,0.00363,-0.38629,0.00691,-0.00732
IBM250815C00275000,IBM,2025-08-15,275.0,call,0.01,0.01,0.0,0,0.01,62,25,2405,2025-08-15,0.93681,0.00278,0.00073,-0.05022,0.00107,2e-05
IBM250815P00275000,IBM,2025-08-15,275.0,put,35.61,34.95,34.25,46,35.65,6,5,65,2025-08-15,0.01976,-1.0,0.0,0.03262,0.0,-0.00753
IBM250815C00277500,IBM,2025-08-15,277.5,call,0.02,0.01,0.0,0,0.01,1,0,108,2025-08-15,0.99534,0.00271,0.00067,-0.05223,0.00105,2e-05
IBM250815P00277500,IBM,2025-08-15,277.5,put,0.0,37.8,37.35,6,38.25,7,0,10,2025-08-15,1.19046,-0.98971,0.00183,-0.17145,0.00343,-0.00754
IBM250815C00280000,IBM,2025-08-15,280.0,call,0.06,0.01,0.0,0,0.01,8,6,1745,2025-08-15,1.05388,0.00267,0.00062,-0.05451,0.00103,2e-05
IBM250815P00280000,IBM,2025-08-15,280.0,put,0.0,39.83,39.05,62,40.6,6,0,109,2025-08-15,0.01976,-1.0,0.0,0.03321,0.0,-0.00767
IBM250815C00282500,IBM,2025-08-15,282.5,call,0.04,0.01,0.0,0,0.01,1,0,148,2025-08-15,1.11241,0.00264,0.00058,-0.05704,0.00102,2e-05
IBM250815P00282500,IBM,2025-08-15,282.5,put,0.0,42.75,42.35,6,43.15,7,0,48,2025-08-15,1.01485,-0.9989,0.00029,0.01013,0.00046,-0.00773
IBM250815C00285000,IBM,2025-08-15,285.0,call,0.01,0.01,0.0,0,0.01,9,8,1099,2025-08-15,1.15144,0.00227,0.00049,-0.05134,0.00089,1e-05
IBM250815P00285000,IBM,2025-08-15,285.0,put,0.0,45.33,44.2,47,46.45,57,0,20,2025-08-15,1.46362,-0.98674,0.00185,-0.2792,0.00427,-0.00772
IBM250815C00287500,IBM,2025-08-15,287.5,call,0.12,0.01,0.0,0,0.1,10,0,123,2025-08-15,1.20997,0.00228,0.00047,-0.05432,0.0009,1e-05
IBM250815P00287500,IBM,2025-08-15,287.5,put,0.0,47.75,46.65,48,48.85,49,0,3,2025-08-15,1.11241,-0.999,0.00024,0.01058,0.00042,-0.00787
IBM250815C00290000,IBM,2025-08-15,290.0,call,0.06,0.01,0.0,0,0.01,2,1,1164,2025-08-15,1.26851,0.00231,0.00045,-0.0575,0.00091,1e-05
IBM250815P00290000,IBM,2025-08-15,290.0,put,0.0,49.85,49.05,57,50.65,6,0,33,2025-08-15,0.01976,-1.0,0.0,0.0344,0.0,-0.00794
IBM250815C00292500,IBM,2025-08-15,292.5,call,0.08,0.01,0.0,0,0.01,1,0,356,2025-08-15,1.30753,0.00204,0.00039,-0.05305,0.00081,1e-05
IBM250815P00292500,IBM,2025-08-15,292.5,put,0.0,52.7,52.25,6,53.15,12,0,0,2025-08-15,0.01976,-1.0,0.0,0.0347,0.0,-0.00801
IBM250815C00295000,IBM,2025-08-15,295.0,call,0.01,0.01,0.0,0,0.01,1,10,918,2025-08-15,1.36606,0.00209,0.00038,-0.05655,0.00083,1e-05
IBM250815P00295000,IBM,2025-08-15,295.0,put,54.68,55.33,54.35,40,56.3,46,2,5,2025-08-15,1.71728,-0.98816,0.00143,-0.29797,0.00387,-0.00801
IBM250815C00297500,IBM,2025-08-15,297.5,call,0.01,0.01,0.0,0,0.01,1,2,663,2025-08-15,1.40509,0.00188,0.00034,-0.05286,0.00075,1e-05
IBM250815P00297500,IBM,2025-08-15,297.5,put,0.0,57.83,57.4,6,58.25,6,0,0,2025-08-15,1.77581,-0.98856,0.00134,-0.29885,0.00376,-0.00808
IBM250815C00300000,IBM,2025-08-15,300.0,call,0.01,0.01,0.0,0,0.01,99,2,4263,2025-08-15,1.46362,0.00194,0.00034,-0.05662,0.00077,1e-05
IBM250815P00300000,IBM,2025-08-15,300.0,put,0.0,60.35,59.75,6,60.95,22,0,0,2025-08-15,1.89288,-0.98656,0.00145,-0.37392,0.00432,-0.00813
IBM250815C00302500,IBM,2025-08-15,302.5,call,0.07,0.01,0.0,0,0.14,6,0,639,2025-08-15,1.50265,0.00177,0.0003,-0.05352,0.00071,1e-05
IBM250815P00302500,IBM,2025-08-15,302.5,put,0.0,62.83,62.45,6,63.2,6,0,0,2025-08-15,1.89288,-0.98919,0.0012,-0.30313,0.00358,-0.00822
IBM250815C00305000,IBM,2025-08-15,305.0,call,0.08,0.01,0.0,0,0.01,1,0,765,2025-08-15,1.56118,0.00184,0.0003,-0.05752,0.00074,1e-05
IBM250815P00305000,IBM,2025-08-15,305.0,put,0.0,65.3,64.9,6,65.7,6,0,0,2025-08-15,1.85386,-0.9925,0.00089,-0.20497,0.0026,-0.00831
IBM250815C00307500,IBM,2025-08-15,307.5,call,0.06,0.01,0.0,0,2.01,7,0,38,2025-08-15,1.60021,0.0017,0.00027,-0.05487,0.00069,1e-05
IBM250815P00307500,IBM,2025-08-15,307.5,put,0.0,67.83,67.4,6,68.25,6,0,0,2025-08-15,2.00995,-0.98964,0.00109,-0.31038,0.00345,-0.00836
IBM250815C00310000,IBM,2025-08-15,310.0,call,0.01,0.01,0.0,0,0.01,5,12,1231,2025-08-15,1.65874,0.00177,0.00027,-0.0591,0.00071,1e-05
IBM250815P00310000,IBM,2025-08-15,310.0,put,0.0,70.3,69.9,6,70.7,6,0,0,2025-08-15,1.97093,-0.99265,0.00082,-0.21513,0.00255,-0.00845
IBM250815C00315000,IBM,2025-08-15,315.0,call,0.03,0.01,0.0,0,0.01,2,9,2698,2025-08-15,1.73679,0.00155,0.00023,-0.05487,0.00063,1e-05
IBM250815P00315000,IBM,2025-08-15,315.0,put,0.0,75.33,74.95,6,75.7,6,0,0,2025-08-15,2.18556,-0.99007,0.00097,-0.32605,0.00332,-0.00857
IBM250815C00320000,IBM,2025-08-15,320.0,call,0.01,0.01,0.0,0,0.22,1,10,1731,2025-08-15,1.83435,0.00154,0.00022,-0.05764,0.00063,1e-05
IBM250815P00320000,IBM,2025-08-15,320.0,put,0.0,80.22,79.7,21,80.75,6,0,0,2025-08-15,0.01976,-1.0,0.0,0.03796,0.0,-0.00877
IBM250815C00325000,IBM,2025-08-15,325.0,call,0.04,0.01,0.0,0,0.01,5,1,481,2025-08-15,1.9319,0.00155,0.00021,-0.0609,0.00063,1e-05
IBM250815P00325000,IBM,2025-08-15,325.0,put,0.0,85.35,84.95,6,85.75,6,0,0,2025-08-15,2.45872,-0.98927,0.00092,-0.39905,0.00356,-0.00884
IBM250815C00330000,IBM,2025-08-15,330.0,call,0.01,0.01,0.0,0,0.01,2,0,833,2025-08-15,2.00995,0.00142,0.00018,-0.05861,0.00058,1e-05
IBM250815P00330000,IBM,2025-08-15,330.0,put,0.0,90.3,89.9,6,90.7,6,0,0,2025-08-15,2.38067,-0.99382,0.00058,-0.22171,0.00219,-0.009
IBM250815C00335000,IBM,2025-08-15,335.0,call,0.01,0.01,0.0,0,2.02,6,0,94,2025-08-15,2.088,0.00132,0.00017,-0.05699,0.00055,1e-05
IBM250815P00335000,IBM,2025-08-15,335.0,put,0.0,95.22,94.7,21,95.75,6,0,0,2025-08-15,0.01976,-1.0,0.0,0.03974,0.0,-0.00918
IBM250815C00340000,IBM,2025-08-15,340.0,call,0.01,0.01,0.0,0,0.01,11,0,261,2025-08-15,2.18556,0.00136,0.00016,-0.06141,0.00056,1e-05
IBM250815P00340000,IBM,2025-08-15,340.0,put,0.0,100.28,99.75,6,100.8,6,0,0,2025-08-15,2.47823,-0.99571,0.00041,-0.15588,0.00158,-0.00929
IBM250815C00345000,IBM,2025-08-15,345.0,call,0.07,0.01,0.0,0,2.02,10,0,308,2025-08-15,2.2636,0.0013,0.00015,-0.06064,0.00054,1e-05
IBM250815P00345000,IBM,2025-08-15,345.0,put,0.0,105.25,104.8,6,105.7,6,0,0,2025-08-15,2.28312,-0.99859,0.00016,-0.02535,0.00058,-0.00944
IBM250815C00350000,IBM,2025-08-15,350.0,call,0.05,0.01,0.0,0,0.01,38,0,156,2025-08-15,2.34165,0.00124,0.00014,-0.06032,0.00051,1e-05
IBM250815P00350000,IBM,2025-08-15,350.0,put,0.0,110.22,109.7,21,110.75,6,0,0,2025-08-15,0.01976,-1.0,0.0,0.04152,0.0,-0.00959
IBM250815C00355000,IBM,2025-08-15,355.0,call,0.19,0.01,0.0,0,2.02,5,0,44,2025-08-15,2.4197,0.0012,0.00013,-0.0604,0.0005,1e-05
IBM250815P00355000,IBM,2025-08-15,355.0,put,0.0,115.28,114.85,6,115.7,6,0,0,2025-08-15,2.7514,-0.99602,0.00034,-0.16167,0.00148,-0.0097
IBM250815C00360000,IBM,2025-08-15,360.0,call,0.05,0.01,0.0,0,1.0,1,0,48,2025-08-15,2.49774,0.00117,0.00012,-0.06083,0.00049,1e-05
IBM250815P00360000,IBM,2025-08-15,360.0,put,0.0,120.25,119.75,6,120.75,6,0,0,2025-08-15,2.55628,-0.99852,0.00015,-0.03478,0.00061,-0.00985
IBM250815C00365000,IBM,2025-08-15,365.0,call,0.17,0.01,0.0,0,2.01,14,0,9,2025-08-15,2.57579,0.00114,0.00012,-0.06159,0.00048,1e-05
IBM250815P00365000,IBM,2025-08-15,365.0,put,0.0,125.28,124.85,6,125.7,6,0,0,2025-08-15,2.94651,-0.99595,0.00032,-0.17812,0.0015,-0.00997
IBM250815C00370000,IBM,2025-08-15,370.0,call,0.47,0.01,0.0,0,0.23,10,0,17,2025-08-15,2.65384,0.00113,0.00011,-0.06264,0.00047,1e-05
IBM250815P00370000,IBM,2025-08-15,370.0,put,0.0,130.2,129.7,21,130.7,6,0,0,2025-08-15,0.01976,-1.0,0.0,0.04389,0.0,-0.01014
IBM250815C00375000,IBM,2025-08-15,375.0,call,0.35,0.01,0.0,0,1.67,3,0,12,2025-08-15,2.73188,0.00112,0.00011,-0.06397,0.00047,1e-05
IBM250815P00375000,IBM,2025-08-15,375.0,put,0.0,135.22,134.75,6,135.7,6,0,0,2025-08-15,0.01976,-1.0,0.0,0.04448,0.0,-0.01027
IBM250815C00380000,IBM,2025-08-15,380.0,call,0.0,0.01,0.0,0,2.02,6,0,0,2025-08-15,2.79042,0.00103,0.0001,-0.06079,0.00044,1e-05
IBM250815P00380000,IBM,2025-08-15,380.0,put,0.0,140.22,139.7,12,140.75,6,0,0,2025-08-15,0.01976,-1.0,0.0,0.04507,0.0,-0.01041
IBM250815C00385000,IBM,2025-08-15,385.0,call,0.2,0.01,0.0,0,2.02,6,0,25,2025-08-15,2.86847,0.00104,0.0001,-0.06264,0.00044,1e-05
IBM250815P00385000,IBM,2025-08-15,385.0,put,0.0,145.28,144.8,6,145.75,6,0,0,2025-08-15,3.27821,-0.99626,0.00027,-0.1839,0.0014,-0.01052
IBM250822C00150000,IBM,2025-08-22,150.0,call,0.0,89.9,88.05,109,91.75,100,0,0,2025-08-15,1.32704,0.99595,0.00027,-0.05539,0.00398,0.02855
IBM250822P00150000,IBM,2025-08-22,150.0,put,0.0,0.01,0.0,0,0.22,47,0,1,2025-08-15,1.11241,-0.00089,8e-05,-0.00793,0.001,-4e-05
IBM250822C00155000,IBM,2025-08-22,155.0,call,0.0,84.9,83.05,109,86.75,107,0,0,2025-08-15,1.22948,0.99599,0.00029,-0.05289,0.00394,0.02951
IBM250822P00155000,IBM,2025-08-22,155.0,put,0.0,0.01,0.0,0,0.13,40,0,0,2025-08-15,1.05388,-0.00108,0.0001,-0.00902,0.0012,-5e-05
IBM250822C00160000,IBM,2025-08-22,160.0,call,0.0,79.95,79.35,11,80.55,58,0,0,2025-08-15,1.22948,0.99314,0.00047,-0.07456,0.00635,0.03033
IBM250822P00160000,IBM,2025-08-22,160.0,put,0.0,0.01,0.0,0,0.23,56,0,0,2025-08-15,0.97583,-0.00109,0.00011,-0.00838,0.00121,-5e-05
IBM250822C00165000,IBM,2025-08-22,165.0,call,0.0,75.15,74.35,14,75.95,64,0,0,2025-08-15,1.32704,0.98337,0.00094,-0.14925,0.01374,0.0308
IBM250822P00165000,IBM,2025-08-22,165.0,put,0.0,0.01,0.0,0,0.5,113,0,0,2025-08-15,0.89778,-0.00106,0.00012,-0.00752,0.00118,-5e-05
IBM250822C00170000,IBM,2025-08-22,170.0,call,0.0,69.8,69.35,10,70.25,28,0,0,2025-08-15,0.01976,1.0,0.0,-0.02015,0.0,0.03258
IBM250822P00170000,IBM,2025-08-22,170.0,put,0.0,0.01,0.0,0,0.43,108,0,0,2025-08-15,0.83925,-0.00125,0.00015,-0.00821,0.00138,-6e-05
IBM250822C00175000,IBM,2025-08-22,175.0,call,0.0,65.12,64.3,12,65.95,50,0,0,2025-08-15,1.13192,0.98174,0.00119,-0.14045,0.01487,0.03264
IBM250822P00175000,IBM,2025-08-22,175.0,put,0.0,0.01,0.0,0,0.55,109,0,0,2025-08-15,0.78071,-0.00148,0.00019,-0.00887,0.0016,-7e-05
IBM250822C00180000,IBM,2025-08-22,180.0,call,0.0,59.92,59.4,11,60.45,18,0,0,2025-08-15,0.83925,0.9943,0.00058,-0.05348,0.00539,0.03422
