,name,expiry,strikePrice,optionType,delta,gamma,theta,vega,impliedVolatility,tradeVolume,dte
72,NIFTY,21AUG2025,23300.000000,CE,0.998800,0.000000,-6.718900,0.090400,39.1,13.00,2
73,NIFTY,21AUG2025,23200.000000,CE,0.999400,0.000000,-6.533000,0.048300,38.34,11.00,2
74,NIFTY,21AUG2025,23350.000000,CE,0.997800,0.000000,-7.034500,0.158600,41.88,11.00,2
75,NIFTY,21AUG2025,23150.000000,CE,0.999300,0.000000,-6.560300,0.057300,39.69,10.00,2
76,NIFTY,21AUG2025,23250.000000,CE,0.999200,0.000000,-6.608700,0.064700,38.77,8.00,2
77,NIFTY,21AUG2025,23100.000000,CE,0.999600,0.000000,-6.449300,0.032500,46.2,4.00,2
78,NIFTY,21AUG2025,23550.000000,CE,0.993200,0.000000,-8.109500,0.445900,34.91,3.00,2
79,NIFTY,21AUG2025,23050.000000,CE,0.999600,0.000000,-6.427100,0.031300,44.57,2.00,2
80,NIFTY,28AUG2025,25000.000000,CE,0.489700,0.000400,-23.764400,16.425900,11.07,287264.00,9
81,NIFTY,28AUG2025,25500.000000,CE,0.307100,0.000300,-20.129500,14.471900,10.98,188582.00,9
82,NIFTY,28AUG2025,25200.000000,CE,0.413500,0.000400,-22.791600,16.043900,10.72,137091.00,9
83,NIFTY,28AUG2025,24900.000000,CE,0.528300,0.000400,-23.969500,16.390200,11.34,107118.00,9
84,NIFTY,28AUG2025,25300.000000,CE,0.376700,0.000400,-22.046100,15.640100,10.69,96321.00,9
85,NIFTY,28AUG2025,26000.000000,CE,0.165200,0.000200,-13.893200,10.232900,12.8,93823.00,9
86,NIFTY,28AUG2025,25100.000000,CE,0.451300,0.000400,-23.368900,16.308800,10.94,86521.00,9
87,NIFTY,28AUG2025,25400.000000,CE,0.341100,0.000400,-21.149300,15.109400,10.76,68304.00,9
88,NIFTY,28AUG2025,25600.000000,CE,0.274300,0.000300,-18.978400,13.724300,11.17,62879.00,9
89,NIFTY,28AUG2025,24800.000000,CE,0.566800,0.000400,-23.980700,16.200700,11.64,62870.00,9
90,NIFTY,28AUG2025,24700.000000,CE,0.604800,0.000400,-23.799900,15.861300,12.37,47849.00,9
91,NIFTY,28AUG2025,25700.000000,CE,0.244100,0.000300,-17.775600,12.921300,11.39,46715.00,9
92,NIFTY,28AUG2025,25800.000000,CE,0.215600,0.000300,-16.502900,12.053700,11.8,43964.00,9
93,NIFTY,28AUG2025,24950.000000,CE,0.508900,0.000400,-23.890600,16.427300,11.27,40533.00,9
94,NIFTY,28AUG2025,25050.000000,CE,0.470400,0.000400,-23.590000,16.386300,11.0,34159.00,9
95,NIFTY,28AUG2025,24500.000000,CE,0.678600,0.000300,-22.888400,14.756900,13.42,31487.00,9
96,NIFTY,28AUG2025,24600.000000,CE,0.641100,0.000400,-23.443500,15.391500,13.03,27241.00,9
97,NIFTY,28AUG2025,25900.000000,CE,0.189300,0.000300,-15.199200,11.150200,12.15,27108.00,9
98,NIFTY,28AUG2025,25250.000000,CE,0.395000,0.000400,-22.438900,15.858600,10.76,26723.00,9
99,NIFTY,28AUG2025,25150.000000,CE,0.433700,0.000400,-23.127100,16.206600,10.76,24742.00,9
100,NIFTY,28AUG2025,26500.000000,CE,0.075800,0.000100,-7.858300,5.880500,15.59,23624.00,9
101,NIFTY,28AUG2025,25450.000000,CE,0.324800,0.000300,-20.682000,14.821200,10.77,22304.00,9
102,NIFTY,28AUG2025,25350.000000,CE,0.359700,0.000400,-21.642900,15.406500,10.69,20150.00,9
103,NIFTY,28AUG2025,26200.000000,CE,0.123300,0.000200,-11.323900,8.400000,13.82,18105.00,9
104,NIFTY,28AUG2025,26100.000000,CE,0.142700,0.000200,-12.563200,9.288300,13.26,17233.00,9
105,NIFTY,28AUG2025,24850.000000,CE,0.547600,0.000400,-23.999400,16.314500,11.58,15701.00,9
106,NIFTY,28AUG2025,25550.000000,CE,0.290500,0.000300,-19.568300,14.110500,11.07,15414.00,9
107,NIFTY,28AUG2025,27000.000000,CE,0.029600,0.000100,-3.658300,2.768000,18.89,14785.00,9
108,NIFTY,28AUG2025,25650.000000,CE,0.259100,0.000300,-18.391200,13.334600,11.31,14584.00,9
109,NIFTY,28AUG2025,26300.000000,CE,0.105000,0.000200,-10.063300,7.489100,14.45,12017.00,9
110,NIFTY,28AUG2025,25750.000000,CE,0.229500,0.000300,-17.143100,12.492200,11.6,8947.00,9
111,NIFTY,28AUG2025,25850.000000,CE,0.202600,0.000300,-15.875900,11.621000,11.98,8769.00,9
112,NIFTY,28AUG2025,24750.000000,CE,0.586900,0.000400,-23.911500,16.041800,11.81,8173.00,9
113,NIFTY,28AUG2025,26400.000000,CE,0.089300,0.000200,-8.906800,6.647800,15.16,7920.00,9
114,NIFTY,28AUG2025,24650.000000,CE,0.623900,0.000400,-23.636400,15.632700,12.42,7065.00,9
115,NIFTY,28AUG2025,24000.000000,CE,0.831600,0.000200,-18.332700,10.359300,18.09,5787.00,9
116,NIFTY,28AUG2025,24400.000000,CE,0.713400,0.000300,-22.188800,14.023000,14.5,4708.00,9
117,NIFTY,28AUG2025,25950.000000,CE,0.176300,0.000300,-14.505200,10.664100,12.58,3933.00,9
118,NIFTY,28AUG2025,26600.000000,CE,0.063600,0.000100,-6.845900,5.135900,16.19,3432.00,9
119,NIFTY,28AUG2025,26800.000000,CE,0.044000,0.000100,-5.086900,3.833600,17.55,2863.00,9
120,NIFTY,28AUG2025,26700.000000,CE,0.053100,0.000100,-5.923400,4.454200,16.97,2749.00,9
121,NIFTY,28AUG2025,24200.000000,CE,0.776400,0.000300,-20.437300,12.309500,16.16,2608.00,9
122,NIFTY,28AUG2025,27400.000000,CE,0.012500,0.000000,-1.750200,1.333000,21.8,2545.00,9
123,NIFTY,28AUG2025,26050.000000,CE,0.153800,0.000200,-13.233000,9.765200,13.12,2437.00,9
124,NIFTY,28AUG2025,24550.000000,CE,0.660300,0.000400,-23.184200,15.085900,13.01,2183.00,9
125,NIFTY,28AUG2025,24300.000000,CE,0.745700,0.000300,-21.371200,13.208200,15.49,2173.00,9
126,NIFTY,28AUG2025,26150.000000,CE,0.132900,0.000200,-11.947700,8.848100,13.59,2067.00,9
127,NIFTY,28AUG2025,26350.000000,CE,0.098000,0.000200,-9.555800,7.120800,14.8,1817.00,9
128,NIFTY,28AUG2025,26250.000000,CE,0.114600,0.000200,-10.734900,7.975400,14.11,1285.00,9
129,NIFTY,28AUG2025,27300.000000,CE,0.015600,0.000000,-2.126500,1.617200,20.78,1089.00,9
130,NIFTY,28AUG2025,23500.000000,CE,0.929300,0.000100,-12.895300,5.572500,24.79,1051.00,9
131,NIFTY,28AUG2025,26550.000000,CE,0.069800,0.000100,-7.369400,5.521500,16.04,785.00,9
132,NIFTY,28AUG2025,24100.000000,CE,0.803500,0.000300,-19.471200,11.408600,17.4,710.00,9
133,NIFTY,28AUG2025,26900.000000,CE,0.036200,0.000100,-4.336300,3.274600,17.94,682.00,9
134,NIFTY,28AUG2025,23000.000000,CE,0.976400,0.000100,-8.986900,2.293200,30.82,681.00,9
135,NIFTY,28AUG2025,24450.000000,CE,0.695200,0.000300,-22.574100,14.423800,13.95,678.00,9
136,NIFTY,28AUG2025,26450.000000,CE,0.082500,0.000100,-8.387300,6.268200,15.26,471.00,9
137,NIFTY,28AUG2025,27100.000000,CE,0.024300,0.000100,-3.102800,2.351800,19.4,434.00,9
138,NIFTY,28AUG2025,24350.000000,CE,0.729000,0.000300,-21.810800,13.642700,15.01,429.00,9
139,NIFTY,28AUG2025,27200.000000,CE,0.019500,0.000000,-2.572200,1.953000,20.04,368.00,9
140,NIFTY,28AUG2025,26650.000000,CE,0.058300,0.000100,-6.383300,4.794600,16.85,353.00,9
141,NIFTY,28AUG2025,23900.000000,CE,0.854600,0.000200,-17.269500,9.402700,19.59,326.00,9
142,NIFTY,28AUG2025,27050.000000,CE,0.027100,0.000100,-3.398100,2.573200,18.91,295.00,9
143,NIFTY,28AUG2025,26750.000000,CE,0.048600,0.000100,-5.520800,4.155900,17.3,285.00,9
144,NIFTY,28AUG2025,27350.000000,CE,0.014000,0.000000,-1.936400,1.473700,21.13,250.00,9
145,NIFTY,28AUG2025,27250.000000,CE,0.017600,0.000000,-2.354700,1.789200,20.39,221.00,9
146,NIFTY,28AUG2025,24250.000000,CE,0.758500,0.000300,-20.991800,12.844800,16.19,75.00,9
147,NIFTY,28AUG2025,22800.000000,CE,0.985800,0.000000,-7.989100,1.486500,34.76,51.00,9
148,NIFTY,28AUG2025,24150.000000,CE,0.806300,0.000300,-19.347900,11.386700,0.0,51.00,9
149,NIFTY,28AUG2025,23800.000000,CE,0.883200,0.000200,-15.774800,8.120900,14.83,48.00,9
150,NIFTY,28AUG2025,27150.000000,CE,0.021700,0.000100,-2.815800,2.136300,19.65,42.00,9
151,NIFTY,28AUG2025,26950.000000,CE,0.032600,0.000100,-3.970400,3.005800,18.21,39.00,9
152,NIFTY,28AUG2025,26850.000000,CE,0.039800,0.000100,-4.688300,3.537300,17.78,33.00,9
153,NIFTY,28AUG2025,23700.000000,CE,0.896600,0.000200,-15.011400,7.409900,21.8,18.00,9
154,NIFTY,28AUG2025,23600.000000,CE,0.912800,0.000200,-14.005600,6.534600,24.85,16.00,9
155,NIFTY,28AUG2025,23950.000000,CE,0.865600,0.000200,-16.664600,9.064000,0.0,16.00,9
156,NIFTY,28AUG2025,24050.000000,CE,0.819900,0.000300,-18.817300,10.822800,15.87,12.00,9
157,NIFTY,28AUG2025,23750.000000,CE,0.895400,0.000200,-15.092800,7.497000,16.92,6.00,9
158,NIFTY,28AUG2025,23100.000000,CE,0.972900,0.000100,-9.338900,2.582900,20.06,6.00,9
159,NIFTY,28AUG2025,23400.000000,CE,0.945500,0.000100,-11.700300,4.560300,20.37,5.00,9
160,NIFTY,28AUG2025,23200.000000,CE,0.963600,0.000100,-10.192400,3.291600,25.4,5.00,9
161,NIFTY,28AUG2025,23350.000000,CE,0.956600,0.000100,-10.783000,3.848800,0.0,5.00,9
162,NIFTY,28AUG2025,23850.000000,CE,0.875900,0.000200,-16.195400,8.470800,16.25,4.00,9
163,NIFTY,28AUG2025,23650.000000,CE,0.912600,0.000200,-14.031900,6.570200,17.86,4.00,9
164,NIFTY,28AUG2025,23450.000000,CE,0.940800,0.000100,-12.060600,4.872200,20.52,2.00,9
165,NIFTY,28AUG2025,23300.000000,CE,0.960300,0.000100,-10.469100,3.574800,0.0,2.00,9
166,NIFTY,28AUG2025,23050.000000,CE,0.979000,0.000000,-8.735700,2.115000,27.88,2.00,9
167,NIFTY,28AUG2025,23250.000000,CE,0.961600,0.000100,-10.374600,3.445300,20.8,1.00,9
168,NIFTY,28AUG2025,23150.000000,CE,0.969500,0.000100,-9.667900,2.855700,21.97,1.00,9
169,NIFTY,28AUG2025,22900.000000,CE,0.982200,0.000000,-8.387700,1.806900,30.07,1.00,9
170,NIFTY,28AUG2025,23550.000000,CE,0.927800,0.000100,-13.009000,5.684000,16.03,1.00,9
171,NIFTY,28AUG2025,22650.000000,CE,0.990700,0.000000,-7.407000,1.027800,34.33,1.00,9
172,NIFTY,28AUG2025,22600.000000,CE,0.991900,0.000000,-7.258300,0.911900,38.07,1.00,9
173,NIFTY,28AUG2025,22950.000000,CE,0.978900,0.000000,-8.735200,2.089700,33.96,1.00,9
174,NIFTY,28AUG2025,22850.000000,CE,0.983700,0.000000,-8.227300,1.678400,35.31,1.00,9
175,NIFTY,28AUG2025,22750.000000,CE,0.987600,0.000000,-7.785500,1.324900,35.9,1.00,9
176,NIFTY,02SEP2025,25000.000000,CE,0.504300,0.000300,-20.068300,20.119600,11.17,11466.00,14
177,NIFTY,02SEP2025,25500.000000,CE,0.353300,0.000300,-17.950500,18.747000,10.7,11391.00,14
178,NIFTY,02SEP2025,26000.000000,CE,0.223900,0.000200,-14.054400,15.086000,11.86,9001.00,14
179,NIFTY,02SEP2025,25600.000000,CE,0.324800,0.000300,-17.267200,18.149600,10.65,6803.00,14
180,NIFTY,02SEP2025,25200.000000,CE,0.445200,0.000300,-19.539100,19.939200,10.53,6278.00,14
181,NIFTY,02SEP2025,25400.000000,CE,0.382600,0.000300,-18.557500,19.246800,10.6,4136.00,14
182,NIFTY,02SEP2025,25300.000000,CE,0.412500,0.000300,-19.077500,19.638400,10.73,2920.00,14
183,NIFTY,02SEP2025,25100.000000,CE,0.474300,0.000300,-19.845600,20.082500,11.02,2904.00,14
184,NIFTY,02SEP2025,24900.000000,CE,0.538100,0.000300,-20.214100,20.035000,11.24,2834.00,14
185,NIFTY,02SEP2025,24800.000000,CE,0.569300,0.000300,-20.234900,19.822100,11.43,1913.00,14
186,NIFTY,02SEP2025,24600.000000,CE,0.631500,0.000300,-19.962800,19.024800,12.03,1694.00,14
187,NIFTY,02SEP2025,25800.000000,CE,0.272600,0.000300,-15.768500,16.759900,11.08,1467.00,14
188,NIFTY,02SEP2025,25750.000000,CE,0.285600,0.000300,-16.175600,17.145900,11.05,1420.00,14
189,NIFTY,02SEP2025,24500.000000,CE,0.661500,0.000300,-19.675900,18.455100,12.41,1398.00,14
190,NIFTY,02SEP2025,24950.000000,CE,0.521500,0.000300,-20.158600,20.095300,11.03,1366.00,14
191,NIFTY,02SEP2025,25700.000000,CE,0.298000,0.000300,-16.541000,17.487400,10.83,1297.00,14
192,NIFTY,02SEP2025,26100.000000,CE,0.201800,0.000200,-13.168000,14.196700,12.27,1204.00,14
193,NIFTY,02SEP2025,24700.000000,CE,0.597200,0.000300,-20.155600,19.518900,12.07,952.00,14
194,NIFTY,02SEP2025,25650.000000,CE,0.312300,0.000300,-16.941300,17.855900,10.77,891.00,14
195,NIFTY,02SEP2025,26500.000000,CE,0.128100,0.000200,-9.653900,10.562700,14.05,801.00,14
196,NIFTY,02SEP2025,26300.000000,CE,0.160100,0.000200,-11.292100,12.277200,13.37,639.00,14
197,NIFTY,02SEP2025,26200.000000,CE,0.181700,0.000200,-12.300600,13.314700,12.82,535.00,14
198,NIFTY,02SEP2025,25050.000000,CE,0.489200,0.000300,-19.967400,20.115500,10.98,528.00,14
199,NIFTY,02SEP2025,25900.000000,CE,0.246900,0.000300,-14.902800,15.922900,11.49,503.00,14
200,NIFTY,02SEP2025,25450.000000,CE,0.366300,0.000300,-18.227100,18.979600,10.66,463.00,14
201,NIFTY,02SEP2025,25950.000000,CE,0.236200,0.000200,-14.518600,15.546300,11.69,422.00,14
202,NIFTY,02SEP2025,25550.000000,CE,0.338600,0.000300,-17.610200,18.453100,10.65,404.00,14
203,NIFTY,02SEP2025,25250.000000,CE,0.428400,0.000300,-19.315400,19.801100,10.64,350.00,14
204,NIFTY,02SEP2025,24400.000000,CE,0.686400,0.000300,-19.345700,17.879600,13.63,349.00,14
205,NIFTY,02SEP2025,24850.000000,CE,0.552900,0.000300,-20.235200,19.947000,11.41,346.00,14
206,NIFTY,02SEP2025,26800.000000,CE,0.087900,0.000100,-7.295100,8.051400,15.59,226.00,14
207,NIFTY,02SEP2025,24650.000000,CE,0.616100,0.000300,-20.069700,19.268800,12.15,193.00,14
208,NIFTY,02SEP2025,25350.000000,CE,0.397500,0.000300,-18.828600,19.456500,10.58,192.00,14
209,NIFTY,02SEP2025,24750.000000,CE,0.580900,0.000300,-20.202000,19.705300,12.11,173.00,14
210,NIFTY,02SEP2025,26050.000000,CE,0.210500,0.000200,-13.522700,14.555400,12.24,142.00,14
211,NIFTY,02SEP2025,26750.000000,CE,0.092300,0.000100,-7.565200,8.344400,15.49,129.00,14
212,NIFTY,02SEP2025,24300.000000,CE,0.714100,0.000300,-18.901400,17.146500,14.38,116.00,14
213,NIFTY,02SEP2025,26450.000000,CE,0.142000,0.000200,-10.395200,11.363800,13.72,101.00,14
214,NIFTY,02SEP2025,24550.000000,CE,0.648800,0.000300,-19.805800,18.729100,12.18,95.00,14
215,NIFTY,02SEP2025,25150.000000,CE,0.455700,0.000300,-19.647900,19.994600,10.88,87.00,14
216,NIFTY,02SEP2025,26350.000000,CE,0.151900,0.000200,-10.889100,11.861000,13.51,85.00,14
217,NIFTY,02SEP2025,26250.000000,CE,0.169600,0.000200,-11.740500,12.742700,12.87,82.00,14
218,NIFTY,02SEP2025,26400.000000,CE,0.142900,0.000200,-10.431600,11.385100,13.76,73.00,14
219,NIFTY,02SEP2025,24200.000000,CE,0.749200,0.000300,-18.180500,16.132400,11.36,63.00,14
220,NIFTY,02SEP2025,26550.000000,CE,0.120300,0.000200,-9.217100,10.111600,14.27,37.00,14
221,NIFTY,02SEP2025,24000.000000,CE,0.792000,0.000200,-17.126800,14.458000,15.34,34.00,14
222,NIFTY,02SEP2025,26700.000000,CE,0.098500,0.000100,-7.947500,8.753900,15.1,33.00,14
223,NIFTY,02SEP2025,26150.000000,CE,0.198400,0.000200,-13.034600,14.083300,12.26,15.00,14
224,NIFTY,02SEP2025,26600.000000,CE,0.112300,0.000200,-8.765700,9.626900,14.77,6.00,14
225,NIFTY,02SEP2025,26650.000000,CE,0.117200,0.000200,-9.032000,10.003700,14.26,5.00,14
226,NIFTY,02SEP2025,23800.000000,CE,0.843700,0.000200,-15.475800,12.112200,14.53,4.00,14
227,NIFTY,02SEP2025,24250.000000,CE,0.753400,0.000200,-18.096700,16.082100,10.84,3.00,14
228,NIFTY,02SEP2025,24100.000000,CE,0.767400,0.000200,-17.780400,15.408900,15.46,3.00,14
229,NIFTY,02SEP2025,24450.000000,CE,0.683100,0.000300,-19.408900,18.004100,12.03,2.00,14
230,NIFTY,02SEP2025,23500.000000,CE,0.896300,0.000100,-13.266800,9.110100,15.71,2.00,14
231,NIFTY,02SEP2025,23450.000000,CE,0.903700,0.000100,-12.907800,8.632700,16.29,1.00,14
232,NIFTY,02SEP2025,23300.000000,CE,0.923500,0.000100,-11.867200,7.263700,16.88,1.00,14
233,NIFTY,02SEP2025,23200.000000,CE,0.935000,0.000100,-11.211200,6.411600,17.47,1.00,14
234,NIFTY,02SEP2025,23250.000000,CE,0.929400,0.000100,-11.535100,6.831400,17.43,1.00,14
235,NIFTY,02SEP2025,23350.000000,CE,0.917200,0.000100,-12.210100,7.712800,17.05,1.00,14
236,NIFTY,02SEP2025,23650.000000,CE,0.871600,0.000200,-14.374400,10.601100,15.44,1.00,14
237,NIFTY,02SEP2025,23600.000000,CE,0.880300,0.000200,-14.000800,10.094700,15.95,1.00,14
238,NIFTY,02SEP2025,23400.000000,CE,0.910600,0.000100,-12.558000,8.170500,17.13,1.00,14
239,NIFTY,02SEP2025,23700.000000,CE,0.863000,0.000200,-14.733000,11.088500,15.31,1.00,14
240,NIFTY,02SEP2025,24050.000000,CE,0.789500,0.000200,-17.222000,14.589000,13.6,1.00,14
241,NIFTY,02SEP2025,23550.000000,CE,0.888500,0.000200,-13.630500,9.596400,16.24,1.00,14
242,NIFTY,02SEP2025,24350.000000,CE,0.713100,0.000300,-18.940600,17.227600,11.44,1.00,14
243,NIFTY,02SEP2025,23750.000000,CE,0.853100,0.000200,-15.120100,11.621500,15.18,1.00,14
244,NIFTY,02SEP2025,23850.000000,CE,0.833500,0.000200,-15.840100,12.620200,14.41,1.00,14
245,NIFTY,02SEP2025,24150.000000,CE,0.765400,0.000200,-17.852600,15.520300,13.17,1.00,14
246,NIFTY,02SEP2025,23950.000000,CE,0.812500,0.000200,-16.540600,13.608000,13.84,1.00,14
247,NIFTY,02SEP2025,23900.000000,CE,0.823300,0.000200,-16.188300,13.108500,14.33,1.00,14
248,NIFTY,02SEP2025,22850.000000,CE,0.962800,0.000100,-9.389300,4.098300,28.09,1.00,14
249,NIFTY,02SEP2025,23150.000000,CE,0.936900,0.000100,-11.082000,6.251900,23.55,1.00,14
