,contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
20,IBM250822C00200000,IBM,2025-08-22,200.0,call,37.85,41.4,40.8,28,42.0,27,0,30,2025-08-19,0.87827,0.99182,0.00116,-0.09503,0.00489,0.01627
21,IBM250822P00200000,IBM,2025-08-22,200.0,put,0.0,0.01,0.0,0,0.02,1,0,13,2025-08-19,0.74169,-0.00233,0.00045,-0.01963,0.00159,-5e-05
22,IBM250822C00205000,IBM,2025-08-22,205.0,call,53.75,36.58,35.7,36,37.45,51,0,0,2025-08-19,0.95632,0.973,0.00298,-0.2408,0.01363,0.01629
23,IBM250822P00205000,IBM,2025-08-22,205.0,put,0.0,0.01,0.0,0,0.46,317,0,201,2025-08-19,0.64413,-0.00236,0.00052,-0.01723,0.00161,-5e-05
24,IBM250822C00207500,IBM,2025-08-22,207.5,call,0.0,33.72,33.3,24,34.15,22,0,0,2025-08-19,0.01976,1.0,0.0,-0.02461,0.0,0.01705
25,IBM250822P00207500,IBM,2025-08-22,207.5,put,0.0,0.01,0.0,0,0.3,127,0,0,2025-08-19,0.60511,-0.00269,0.00063,-0.01822,0.00181,-5e-05
26,IBM250822C00210000,IBM,2025-08-22,210.0,call,30.57,31.2,30.8,28,31.6,23,3,3,2025-08-19,0.01976,1.0,0.0,-0.0249,0.0,0.01725
27,IBM250822P00210000,IBM,2025-08-22,210.0,put,0.0,0.01,0.0,0,0.31,208,0,21,2025-08-19,0.56608,-0.00309,0.00076,-0.0193,0.00206,-6e-05
28,IBM250822C00212500,IBM,2025-08-22,212.5,call,0.0,28.73,28.35,14,29.1,18,0,0,2025-08-19,0.01976,1.0,0.0,-0.0252,0.0,0.01746
29,IBM250822P00212500,IBM,2025-08-22,212.5,put,0.0,0.01,0.0,0,0.26,245,0,10,2025-08-19,0.50755,-0.00263,0.00073,-0.01494,0.00178,-5e-05
30,IBM250822C00215000,IBM,2025-08-22,215.0,call,0.0,26.23,25.8,27,26.65,15,0,0,2025-08-19,0.01976,1.0,0.0,-0.0255,0.0,0.01766
31,IBM250822P00215000,IBM,2025-08-22,215.0,put,0.0,0.01,0.0,0,0.11,75,0,29,2025-08-19,0.46853,-0.00303,0.0009,-0.01568,0.00202,-6e-05
32,IBM250822C00217500,IBM,2025-08-22,217.5,call,0.0,23.7,23.3,23,24.1,15,0,0,2025-08-19,0.01976,1.0,0.0,-0.02579,0.0,0.01787
33,IBM250822P00217500,IBM,2025-08-22,217.5,put,0.0,0.01,0.0,0,0.34,223,0,2,2025-08-19,0.4295,-0.00354,0.00113,-0.01651,0.00232,-7e-05
34,IBM250822C00220000,IBM,2025-08-22,220.0,call,20.3,21.25,20.85,21,21.65,23,0,15,2025-08-19,0.01976,1.0,0.0,-0.02609,0.0,0.01808
35,IBM250822P00220000,IBM,2025-08-22,220.0,put,0.02,0.04,0.01,6,0.08,16,11,1894,2025-08-19,0.44901,-0.0108,0.0029,-0.04635,0.00624,-0.00022
36,IBM250822C00222500,IBM,2025-08-22,222.5,call,0.0,18.8,18.35,23,19.25,13,0,0,2025-08-19,0.01976,1.0,0.0,-0.02639,0.0,0.01828
37,IBM250822P00222500,IBM,2025-08-22,222.5,put,0.11,0.18,0.02,1,0.34,249,12,74,2025-08-19,0.50755,-0.03659,0.00722,-0.1472,0.01753,-0.00074
38,IBM250822C00225000,IBM,2025-08-22,225.0,call,16.53,16.25,15.85,19,16.65,11,4,12,2025-08-19,0.01976,1.0,0.0,-0.02668,0.0,0.01849
39,IBM250822P00225000,IBM,2025-08-22,225.0,put,0.07,0.2,0.05,1,0.34,232,6,200,2025-08-19,0.46853,-0.04704,0.00958,-0.16641,0.02149,-0.00095
40,IBM250822C00227500,IBM,2025-08-22,227.5,call,13.16,13.78,13.4,34,14.15,7,0,44,2025-08-19,0.01976,1.0,0.0,-0.02698,0.0,0.01869
41,IBM250822P00227500,IBM,2025-08-22,227.5,put,0.11,0.11,0.08,1,0.15,1,28,1707,2025-08-19,0.37097,-0.03787,0.01016,-0.11036,0.01803,-0.00076
42,IBM250822C00230000,IBM,2025-08-22,230.0,call,10.9,11.43,11.15,22,11.7,15,8,74,2025-08-19,0.27341,0.97491,0.0098,-0.08499,0.01282,0.0184
43,IBM250822P00230000,IBM,2025-08-22,230.0,put,0.18,0.19,0.1,163,0.28,96,235,504,2025-08-19,0.35146,-0.06304,0.0161,-0.15681,0.02708,-0.00127
44,IBM250822C00232500,IBM,2025-08-22,232.5,call,8.13,9.15,8.95,24,9.35,30,21,104,2025-08-19,0.31243,0.90913,0.02393,-0.21124,0.03578,0.01728
45,IBM250822P00232500,IBM,2025-08-22,232.5,put,0.33,0.32,0.27,73,0.36,19,101,450,2025-08-19,0.31243,-0.09087,0.02393,-0.18367,0.03578,-0.00183
46,IBM250822C00235000,IBM,2025-08-22,235.0,call,6.4,6.9,6.75,42,7.05,27,85,365,2025-08-19,0.29292,0.84608,0.03702,-0.27669,0.05188,0.01621
47,IBM250822P00235000,IBM,2025-08-22,235.0,put,0.58,0.62,0.53,40,0.72,194,1845,731,2025-08-19,0.31243,-0.16908,0.0369,-0.28232,0.05516,-0.0034
48,IBM250822C00237500,IBM,2025-08-22,237.5,call,4.85,4.85,4.7,39,5.0,53,79,698,2025-08-19,0.27341,0.74659,0.05352,-0.33983,0.07001,0.01441
49,IBM250822P00237500,IBM,2025-08-22,237.5,put,1.05,1.01,0.95,64,1.07,81,1225,386,2025-08-19,0.29292,-0.2672,0.05133,-0.34348,0.07195,-0.00539
50,IBM250822C00240000,IBM,2025-08-22,240.0,call,2.84,3.09,2.98,12,3.2,33,505,1027,2025-08-19,0.27341,0.59536,0.06479,-0.40291,0.08476,0.01155
51,IBM250822P00240000,IBM,2025-08-22,240.0,put,1.87,1.75,1.68,1,1.83,6,1227,869,2025-08-19,0.27341,-0.40464,0.06479,-0.37445,0.08476,-0.00817
52,IBM250822C00242500,IBM,2025-08-22,242.5,call,1.84,1.77,1.71,1,1.84,122,879,1366,2025-08-19,0.2539,0.42381,0.07052,-0.37445,0.08567,0.00827
53,IBM250822P00242500,IBM,2025-08-22,242.5,put,3.12,2.9,2.75,74,3.05,83,85,479,2025-08-19,0.2539,-0.57619,0.07052,-0.34569,0.08567,-0.01166
54,IBM250822C00245000,IBM,2025-08-22,245.0,call,0.9,0.82,0.64,132,1.0,179,1052,1664,2025-08-19,0.2539,0.26183,0.05861,-0.30872,0.07121,0.00512
55,IBM250822P00245000,IBM,2025-08-22,245.0,put,4.57,4.53,4.4,26,4.65,10,70,464,2025-08-19,0.2539,-0.73817,0.05861,-0.27966,0.07121,-0.01501
56,IBM250822C00247500,IBM,2025-08-22,247.5,call,0.42,0.43,0.39,47,0.48,172,1502,2286,2025-08-19,0.2539,0.14034,0.04014,-0.21034,0.04877,0.00275
57,IBM250822P00247500,IBM,2025-08-22,247.5,put,7.58,6.47,6.2,79,6.75,10,13,75,2025-08-19,0.23438,-0.87909,0.03923,-0.14592,0.04399,-0.01796
58,IBM250822C00250000,IBM,2025-08-22,250.0,call,0.19,0.12,0.01,31,0.22,11,1511,1318,2025-08-19,0.23438,0.05015,0.02016,-0.08976,0.02261,0.00099
59,IBM250822P00250000,IBM,2025-08-22,250.0,put,9.17,8.88,8.65,44,9.1,10,18,935,2025-08-19,0.29292,-0.90494,0.02639,-0.15362,0.03699,-0.01868
60,IBM250822C00252500,IBM,2025-08-22,252.5,call,0.1,0.01,0.0,0,0.16,101,89,272,2025-08-19,0.19536,0.00558,0.00373,-0.01152,0.00349,0.00011
61,IBM250822P00252500,IBM,2025-08-22,252.5,put,11.28,10.98,10.15,118,11.8,34,6,122,2025-08-19,0.01976,-1.0,0.0,0.02994,0.0,-0.02075
62,IBM250822C00255000,IBM,2025-08-22,255.0,call,0.05,0.05,0.02,1,0.07,9,146,828,2025-08-19,0.29292,0.0199,0.00752,-0.05204,0.01054,0.00039
63,IBM250822P00255000,IBM,2025-08-22,255.0,put,0.0,13.95,13.5,18,14.4,29,0,26,2025-08-19,0.4295,-0.918,0.01612,-0.20924,0.03313,-0.01935
64,IBM250822C00257500,IBM,2025-08-22,257.5,call,0.07,0.01,0.0,0,0.04,1,56,205,2025-08-19,0.27341,0.00469,0.00228,-0.01374,0.00299,9e-05
65,IBM250822P00257500,IBM,2025-08-22,257.5,put,17.46,16.43,16.0,31,16.85,18,1,1,2025-08-19,0.46853,-0.93346,0.0126,-0.19187,0.02824,-0.01986
66,IBM250822C00260000,IBM,2025-08-22,260.0,call,0.02,0.01,0.0,0,0.05,1,506,459,2025-08-19,0.31243,0.00451,0.00193,-0.01515,0.00288,9e-05
67,IBM250822P00260000,IBM,2025-08-22,260.0,put,19.6,18.93,18.55,24,19.3,24,2,10,2025-08-19,0.52706,-0.9373,0.01069,-0.20784,0.02697,-0.02014
68,IBM250822C00262500,IBM,2025-08-22,262.5,call,0.03,0.01,0.0,0,0.1,61,1,81,2025-08-19,0.35146,0.00442,0.00168,-0.01671,0.00283,9e-05
69,IBM250822P00262500,IBM,2025-08-22,262.5,put,0.0,21.15,20.55,38,21.75,23,0,0,2025-08-19,0.39048,-0.9907,0.00293,-0.00475,0.00547,-0.02139
70,IBM250822C00265000,IBM,2025-08-22,265.0,call,0.03,0.02,0.01,30,0.03,1,10,558,2025-08-19,0.40999,0.0063,0.00198,-0.02673,0.00389,0.00012
71,IBM250822P00265000,IBM,2025-08-22,265.0,put,0.0,23.9,23.5,27,24.3,25,0,0,2025-08-19,0.62462,-0.94753,0.00784,-0.2141,0.02344,-0.02076
72,IBM250822C00267500,IBM,2025-08-22,267.5,call,0.01,0.01,0.0,0,0.1,57,0,15,2025-08-19,0.40999,0.003,0.00102,-0.01378,0.002,6e-05
73,IBM250822P00267500,IBM,2025-08-22,267.5,put,0.0,26.45,26.05,23,26.85,27,0,0,2025-08-19,0.68315,-0.94834,0.00708,-0.23337,0.02316,-0.02098
74,IBM250822C00270000,IBM,2025-08-22,270.0,call,0.01,0.01,0.0,0,0.02,64,2,1300,2025-08-19,0.44901,0.00313,0.00097,-0.01566,0.00208,6e-05
75,IBM250822P00270000,IBM,2025-08-22,270.0,put,0.0,28.98,28.55,23,29.4,34,0,1,2025-08-19,0.74169,-0.94883,0.00648,-0.25346,0.02298,-0.0212
76,IBM250822C00272500,IBM,2025-08-22,272.5,call,0.01,0.01,0.0,0,0.44,170,6,1,2025-08-19,0.48804,0.00326,0.00092,-0.01766,0.00216,6e-05
77,IBM250822P00272500,IBM,2025-08-22,272.5,put,0.0,31.45,31.05,23,31.85,30,0,0,2025-08-19,0.78071,-0.9534,0.00571,-0.24646,0.02132,-0.02149
78,IBM250822C00275000,IBM,2025-08-22,275.0,call,0.03,0.01,0.0,0,0.24,282,8,336,2025-08-19,0.52706,0.0034,0.00089,-0.01978,0.00224,7e-05
79,IBM250822P00275000,IBM,2025-08-22,275.0,put,0.0,33.53,32.6,62,34.45,39,0,0,2025-08-19,0.01976,-1.0,0.0,0.03261,0.0,-0.02259
80,IBM250822C00277500,IBM,2025-08-22,277.5,call,0.17,0.01,0.0,0,0.23,140,0,1,2025-08-19,0.54657,0.00263,0.00068,-0.01627,0.00178,5e-05
81,IBM250822P00277500,IBM,2025-08-22,277.5,put,0.0,36.48,36.0,22,36.95,37,0,0,2025-08-19,0.89778,-0.95287,0.00501,-0.29041,0.02152,-0.0219
82,IBM250822C00280000,IBM,2025-08-22,280.0,call,0.01,0.01,0.0,0,0.01,1,1,337,2025-08-19,0.5856,0.0028,0.00067,-0.01844,0.00188,5e-05
83,IBM250822P00280000,IBM,2025-08-22,280.0,put,0.0,38.48,37.6,63,39.35,28,0,5,2025-08-19,0.01976,-1.0,0.0,0.0332,0.0,-0.02301
84,IBM250822C00285000,IBM,2025-08-22,285.0,call,0.05,0.01,0.0,0,0.63,157,0,141,2025-08-19,0.64413,0.00243,0.00054,-0.01782,0.00165,5e-05
85,IBM250822P00285000,IBM,2025-08-22,285.0,put,0.0,43.48,42.6,59,44.35,27,0,0,2025-08-19,0.01976,-1.0,0.0,0.0338,0.0,-0.02342
86,IBM250822C00290000,IBM,2025-08-22,290.0,call,0.01,0.01,0.0,0,0.25,103,0,95,2025-08-19,0.70267,0.00219,0.00045,-0.01768,0.0015,4e-05
87,IBM250822P00290000,IBM,2025-08-22,290.0,put,0.0,48.73,48.1,38,49.35,29,0,0,2025-08-19,0.91729,-0.98484,0.00191,-0.09387,0.00836,-0.02354
88,IBM250822C00295000,IBM,2025-08-22,295.0,call,0.04,0.01,0.0,0,0.63,172,0,53,2025-08-19,0.7612,0.00203,0.00039,-0.0179,0.00141,4e-05
89,IBM250822P00295000,IBM,2025-08-22,295.0,put,53.86,53.75,53.4,278,54.1,26,1,0,2025-08-19,1.01485,-0.98362,0.00184,-0.1166,0.00893,-0.02392
90,IBM250822C00300000,IBM,2025-08-22,300.0,call,0.04,0.01,0.0,0,0.02,1,5,136,2025-08-19,0.81974,0.00193,0.00034,-0.01842,0.00134,4e-05
91,IBM250822P00300000,IBM,2025-08-22,300.0,put,0.0,58.42,57.6,57,59.25,25,0,0,2025-08-19,0.01976,-1.0,0.0,0.03558,0.0,-0.02465
92,IBM250822C00305000,IBM,2025-08-22,305.0,call,0.12,0.01,0.0,0,0.63,155,0,13,2025-08-19,0.87827,0.00187,0.00031,-0.01917,0.00131,4e-05
93,IBM250822P00305000,IBM,2025-08-22,305.0,put,0.0,63.95,63.5,25,64.4,31,0,0,2025-08-19,1.34655,-0.96826,0.00242,-0.31473,0.0156,-0.02446
94,IBM250822C00310000,IBM,2025-08-22,310.0,call,0.01,0.01,0.0,0,0.63,107,0,44,2025-08-19,0.93681,0.00184,0.00029,-0.02014,0.00129,4e-05
95,IBM250822P00310000,IBM,2025-08-22,310.0,put,0.0,69.0,67.9,45,70.1,75,0,0,2025-08-19,1.44411,-0.96756,0.0023,-0.34632,0.01588,-0.02486
96,IBM250822C00315000,IBM,2025-08-22,315.0,call,0.13,0.01,0.0,0,0.63,155,0,11,2025-08-19,0.97583,0.00151,0.00023,-0.01752,0.00107,3e-05
97,IBM250822P00315000,IBM,2025-08-22,315.0,put,0.0,73.57,72.85,48,74.3,16,0,0,2025-08-19,0.01976,-1.0,0.0,0.03736,0.0,-0.02588
98,IBM250822C00320000,IBM,2025-08-22,320.0,call,0.01,0.01,0.0,0,0.63,99,0,12,2025-08-19,1.03437,0.00154,0.00022,-0.01885,0.00109,3e-05
99,IBM250822P00320000,IBM,2025-08-22,320.0,put,0.0,78.92,78.55,9,79.3,18,0,0,2025-08-19,1.54167,-0.97428,0.00177,-0.29914,0.01309,-0.02581
100,IBM250822C00325000,IBM,2025-08-22,325.0,call,0.04,0.01,0.0,0,0.63,108,0,11,2025-08-19,1.0929,0.00157,0.00021,-0.02035,0.00111,3e-05
101,IBM250822P00325000,IBM,2025-08-22,325.0,put,0.0,83.78,83.2,11,84.35,25,0,0,2025-08-19,1.48313,-0.98404,0.00123,-0.17787,0.00874,-0.0264
102,IBM250822C00330000,IBM,2025-08-22,330.0,call,0.01,0.01,0.0,0,0.63,160,0,55,2025-08-19,1.13192,0.00136,0.00018,-0.01851,0.00098,3e-05
103,IBM250822P00330000,IBM,2025-08-22,330.0,put,0.0,88.72,88.15,27,89.3,9,0,0,2025-08-19,1.46362,-0.98901,0.0009,-0.11553,0.00633,-0.02691
104,IBM250822C00335000,IBM,2025-08-22,335.0,call,0.23,0.01,0.0,0,0.63,102,0,45,2025-08-19,1.19046,0.00143,0.00018,-0.02025,0.00102,3e-05
105,IBM250822P00335000,IBM,2025-08-22,335.0,put,0.0,93.5,92.6,61,94.4,36,0,0,2025-08-19,0.01976,-1.0,0.0,0.03973,0.0,-0.02752
106,IBM250822C00340000,IBM,2025-08-22,340.0,call,0.0,0.01,0.0,0,0.63,142,0,0,2025-08-19,1.22948,0.00127,0.00016,-0.01884,0.00092,2e-05
107,IBM250822P00340000,IBM,2025-08-22,340.0,put,0.0,98.9,98.5,23,99.3,21,0,0,2025-08-19,1.79532,-0.9785,0.00131,-0.29718,0.01126,-0.02753
108,IBM250822C00345000,IBM,2025-08-22,345.0,call,0.23,0.01,0.0,0,0.43,101,2,2,2025-08-19,1.28802,0.00135,0.00016,-0.0208,0.00097,3e-05
109,IBM250822P00345000,IBM,2025-08-22,345.0,put,0.0,103.72,103.1,36,104.35,26,0,0,2025-08-19,1.65874,-0.98928,0.00078,-0.13056,0.00619,-0.02814
110,IBM250822C00350000,IBM,2025-08-22,350.0,call,0.2,0.01,0.0,0,0.63,147,0,1,2025-08-19,1.32704,0.00123,0.00014,-0.0197,0.00089,2e-05
111,IBM250822P00350000,IBM,2025-08-22,350.0,put,0.0,108.5,107.6,61,109.4,31,0,0,2025-08-19,0.01976,-1.0,0.0,0.04151,0.0,-0.02876
112,IBM250822C00355000,IBM,2025-08-22,355.0,call,0.0,0.01,0.0,0,0.83,93,0,0,2025-08-19,1.38558,0.00131,0.00014,-0.02186,0.00095,3e-05
113,IBM250822P00355000,IBM,2025-08-22,355.0,put,0.0,113.82,113.3,15,114.35,25,0,0,2025-08-19,1.91239,-0.98376,0.00097,-0.24094,0.00887,-0.02886
114,IBM250822C00360000,IBM,2025-08-22,360.0,call,0.0,0.01,0.0,0,1.03,80,0,0,2025-08-19,1.4246,0.00122,0.00013,-0.021,0.00088,2e-05
115,IBM250822P00360000,IBM,2025-08-22,360.0,put,0.0,118.65,117.95,42,119.35,26,0,0,2025-08-19,1.67825,-0.99464,0.00042,-0.05161,0.00337,-0.02948
116,IBM250822C00365000,IBM,2025-08-22,365.0,call,0.0,0.01,0.0,0,0.83,78,0,0,2025-08-19,1.46362,0.00114,0.00012,-0.02033,0.00083,2e-05
117,IBM250822P00365000,IBM,2025-08-22,365.0,put,0.0,123.78,123.2,17,124.35,26,0,0,2025-08-19,1.97093,-0.98697,0.00078,-0.19811,0.00734,-0.02975
118,IBM250822C00370000,IBM,2025-08-22,370.0,call,0.0,0.01,0.0,0,0.83,83,0,0,2025-08-19,1.50265,0.00108,0.00011,-0.0198,0.00079,2e-05
119,IBM250822P00370000,IBM,2025-08-22,370.0,put,0.0,128.95,128.5,12,129.4,35,0,0,2025-08-19,2.22458,-0.97817,0.00107,-0.37961,0.01141,-0.03
120,IBM250822C00375000,IBM,2025-08-22,375.0,call,0.0,0.01,0.0,0,1.03,76,0,0,2025-08-19,1.54167,0.00103,0.0001,-0.01941,0.00075,2e-05
121,IBM250822P00375000,IBM,2025-08-22,375.0,put,0.0,133.48,132.65,59,134.3,20,0,0,2025-08-19,0.01976,-1.0,0.0,0.04447,0.0,-0.03081
122,IBM250822C00380000,IBM,2025-08-22,380.0,call,0.01,0.01,0.0,0,0.63,149,0,8,2025-08-19,1.60021,0.00112,0.00011,-0.02186,0.00082,2e-05
123,IBM250822P00380000,IBM,2025-08-22,380.0,put,0.0,138.93,138.5,9,139.35,24,0,0,2025-08-19,2.32214,-0.97985,0.00096,-0.36805,0.01066,-0.03085
124,IBM250829C00150000,IBM,2025-08-29,150.0,call,0.0,91.28,90.75,30,91.8,2,0,0,2025-08-19,0.01976,1.0,0.0,-0.01777,0.0,0.04105
125,IBM250829P00150000,IBM,2025-08-29,150.0,put,0.0,0.01,0.0,0,0.43,100,0,2,2025-08-19,0.95632,-0.001,9e-05,-0.00641,0.00135,-7e-05
126,IBM250829C00155000,IBM,2025-08-29,155.0,call,0.0,86.72,85.8,28,87.65,57,0,0,2025-08-19,1.26851,0.98673,0.00067,-0.10426,0.01361,0.04147
127,IBM250829P00155000,IBM,2025-08-29,155.0,put,0.0,0.01,0.0,0,0.43,99,0,0,2025-08-19,0.87827,-0.00089,9e-05,-0.00527,0.00121,-6e-05
128,IBM250829C00160000,IBM,2025-08-29,160.0,call,0.0,81.78,80.85,27,82.7,60,0,0,2025-08-19,1.22948,0.98325,0.00085,-0.12063,0.01662,0.04259
129,IBM250829P00160000,IBM,2025-08-29,160.0,put,0.0,0.01,0.0,0,0.63,72,0,0,2025-08-19,0.81974,-0.00095,0.0001,-0.00525,0.00129,-7e-05
130,IBM250829C00165000,IBM,2025-08-29,165.0,call,0.0,77.1,75.85,26,78.35,82,0,0,2025-08-19,1.28802,0.97093,0.00129,-0.18913,0.02647,0.04306
131,IBM250829P00165000,IBM,2025-08-29,165.0,put,0.0,0.01,0.0,0,0.44,76,0,0,2025-08-19,0.7612,-0.00101,0.00011,-0.00512,0.00135,-7e-05
132,IBM250829C00170000,IBM,2025-08-29,170.0,call,0.0,71.4,70.9,24,71.9,11,0,0,2025-08-19,0.01976,1.0,0.0,-0.02014,0.0,0.04652
133,IBM250829P00170000,IBM,2025-08-29,170.0,put,0.0,0.01,0.0,0,0.44,78,0,0,2025-08-19,0.72218,-0.00135,0.00015,-0.00637,0.00178,-9e-05
134,IBM250829C00175000,IBM,2025-08-29,175.0,call,0.0,66.65,65.95,20,67.35,36,0,0,2025-08-19,0.89778,0.98757,0.0009,-0.07809,0.01286,0.04702
135,IBM250829P00175000,IBM,2025-08-29,175.0,put,0.0,0.01,0.0,0,0.45,97,0,0,2025-08-19,0.66364,-0.0014,0.00017,-0.00602,0.00183,-0.0001
136,IBM250829C00180000,IBM,2025-08-29,180.0,call,0.0,61.75,60.95,23,62.55,39,0,0,2025-08-19,0.87827,0.98198,0.00126,-0.09851,0.0177,0.048
137,IBM250829P00180000,IBM,2025-08-29,180.0,put,0.0,0.01,0.0,0,0.46,95,0,0,2025-08-19,0.60511,-0.00141,0.00019,-0.00552,0.00184,-0.0001
138,IBM250829C00185000,IBM,2025-08-29,185.0,call,0.0,56.75,55.8,31,57.7,51,0,0,2025-08-19,0.81974,0.97903,0.00154,-0.10379,0.02013,0.04917
139,IBM250829P00185000,IBM,2025-08-29,185.0,put,0.0,0.01,0.0,0,0.47,97,0,0,2025-08-19,0.54657,-0.00138,0.00021,-0.00488,0.0018,-9e-05
140,IBM250829C00190000,IBM,2025-08-29,190.0,call,0.0,51.33,50.8,31,51.85,11,0,0,2025-08-19,0.01976,1.0,0.0,-0.02251,0.0,0.05199
141,IBM250829P00190000,IBM,2025-08-29,190.0,put,0.0,0.01,0.0,0,0.1,8,0,3,2025-08-19,0.50755,-0.00186,0.00029,-0.00597,0.00238,-0.00013
142,IBM250829C00195000,IBM,2025-08-29,195.0,call,0.0,46.38,45.75,32,47.0,15,0,0,2025-08-19,0.01976,1.0,0.0,-0.02311,0.0,0.05336
143,IBM250829P00195000,IBM,2025-08-29,195.0,put,0.0,0.01,0.0,0,0.14,6,0,0,2025-08-19,0.44901,-0.00176,0.00031,-0.00501,0.00225,-0.00012
144,IBM250829C00200000,IBM,2025-08-29,200.0,call,51.8,41.92,41.1,12,42.75,52,0,10,2025-08-19,0.66364,0.96196,0.00312,-0.13217,0.03303,0.0521
145,IBM250829P00200000,IBM,2025-08-29,200.0,put,0.0,0.01,0.0,0,0.18,29,0,9,2025-08-19,0.40999,-0.00243,0.00046,-0.00612,0.00302,-0.00016
146,IBM250829C00205000,IBM,2025-08-29,205.0,call,46.75,36.38,35.9,24,36.85,10,0,5,2025-08-19,0.01976,1.0,0.0,-0.02429,0.0,0.0561
147,IBM250829P00205000,IBM,2025-08-29,205.0,put,0.0,0.01,0.0,0,0.27,50,0,1,2025-08-19,0.35146,-0.00218,0.00049,-0.00475,0.00274,-0.00015
148,IBM250829C00207500,IBM,2025-08-29,207.5,call,0.0,34.15,33.35,35,34.95,36,0,0,2025-08-19,0.44901,0.98135,0.00254,-0.06494,0.01822,0.05552
149,IBM250829P00207500,IBM,2025-08-29,207.5,put,0.0,0.01,0.0,0,0.52,259,0,0,2025-08-19,0.33194,-0.0026,0.00061,-0.00526,0.00321,-0.00017
150,IBM250829C00210000,IBM,2025-08-29,210.0,call,25.2,31.4,30.9,32,31.9,22,0,3,2025-08-19,0.01976,1.0,0.0,-0.02488,0.0,0.05747
